block_id,conc1,conc2,ZIP_fit,ZIP_ref,ZIP_synergy,HSA_ref,HSA_synergy,Bliss_ref,Bliss_synergy,Loewe_ref,Loewe_synergy,Loewe_ci
1,1.6,1,49.721443520976244,56.28001877753421,-6.558575256557965,45.36992101458182,10.9019976217878,60.80721864695122,-4.535300010581601,35.46243504994997,20.809483586419653,0
1,1.6,0.1,36.69757618076695,55.04860867737549,-18.35103249660854,45.36992101458182,-9.177352601718525,68.75460408257786,-32.56203566971456,35.40913716631938,0.7834312465439126,0
1,1.6,0.01,40.45653970292025,47.6521911061075,-7.195651403187249,45.36992101458182,-6.172359849607048,56.03339871808528,-16.835837553110508,35.40072218019719,3.7968389847775796,0
1,1.6,0.001,46.421337518182895,31.249356268481964,15.17198124970093,45.36992101458182,5.212836590869614,44.975766802513974,5.60699080293746,35.39983132475928,15.18292628069215,0
1,1.6,1e-4,37.00053899661124,23.653255432246844,13.347283564364396,45.36992101458182,-16.311475274345078,38.931796693107565,-9.873350952870823,32.932649629217494,-3.8742038889807517,403.1447493019871
1,1.6,0,45.36992101458182,45.36992101458182,0,45.36992101458182,0,45.36992101458182,0,45.36992101458182,0,NA
1,0.16,1,41.21485621734656,56.258552331103374,-15.043696113756816,28.257871705603634,11.582295082166233,44.47561044877695,-4.635443661007081,35.340295974665146,4.499870813104721,0
1,0.16,0.1,33.63647875476683,55.02653761039792,-21.39005885563109,42.80550843471755,-5.931022615022435,55.73466657103716,-18.860180751342043,34.674064095922255,2.2004217237728625,0
1,0.16,0.01,35.17359644654972,47.62648840898888,-12.452891962439153,22.6056002640781,11.382951469177364,37.71254265345894,-3.7239909202034767,32.40389474958029,1.584656983675174,0.07290758316422499
1,0.16,0.001,31.481398466015758,31.215599803600625,0.2657986624151327,22.6056002640781,4.287881922685042,22.04720223110952,4.846279955653621,32.40389474958029,-5.510412562817148,62.35870068854257
1,0.16,1e-4,26.30167658880309,23.61576929303526,2.68590729576783,22.6056002640781,1.4840878697957685,13.484713446053576,10.604974687820292,32.40389474958029,-8.314206615706421,91.15072439852928
1,0.16,0,22.6056002640781,22.6056002640781,0,22.6056002640781,0,22.6056002640781,0,22.6056002640781,0,NA
