block_id,conc1,conc2,response,response_origin
1,1.6,1,56.27191863636962,56.27254509018036
1,1.6,0.1,36.192568412863295,36.192384769539075
1,1.6,0.01,39.19756116497477,39.19839679358718
1,1.6,0.001,50.582757605451434,50.5811623246493
1,1.6,1e-4,29.058445740236742,29.058116232464926
1,1.6,0,45.36992101458182,45.37074148296594
1,0.16,1,39.84016678776987,39.83967935871744
1,0.16,0.1,36.87448581969512,36.873747494989985
1,0.16,0.01,33.98855173325546,33.987975951903806
1,0.16,0.001,26.89348218676314,26.8937875751503
1,0.16,1e-4,24.089688133873867,24.088176352705418
1,0.16,0,22.6056002640781,22.605210420841686
1,0.016,1,40.27993988166394,40.280561122244485
1,0.016,0.1,36.31041055061383,36.31262525050101
1,0.016,0.01,37.87687643392416,37.875751503006015
1,0.016,0.001,29.45887290206233,29.458917835671343
1,0.016,1e-4,32.74547479170083,32.745490981963925
1,0.016,0,28.016975900338938,28.016032064128254
1,0.0016,1,31.062945469692085,31.062124248496986
1,0.0016,0.1,30.982557829176933,30.981963927855716
1,0.0016,0.01,30.301520179776414,30.300601202404806
1,0.0016,0.001,23.08695448099012,23.086172344689388
1,0.0016,1e-4,20.3207158475485,20.320641282565134
1,0.0016,0,24.046106840688914,24.048096192384776
1,2e-4,1,13.667954495086581,13.667334669338686
1,2e-4,0.1,7.094132248013993,7.094188376753522
1,2e-4,0.01,14.548942400886085,14.54909819639279
1,2e-4,0.001,-1.524516844568258,-1.5230460921843587
1,2e-4,1e-4,-16.673824843441885,-16.673346693386776
1,2e-4,0,-5.129842579481889,-5.130260521042089
1,0,1,28.257871705603634,28.256513026052104
1,0,0.1,42.80550843471755,42.805611222444895
1,0,0.01,19.519425747763872,19.519038076152313
1,0,0.001,-0.7214966908121205,-0.7214428857715376
1,0,1e-4,-11.784944193825366,-11.783567134268537
1,0,0,-16.593601367308793,-16.593186372745492
2,1.6,1,70.23657253469085,70.23696682464455
2,1.6,0.1,71.32695490461278,71.32701421800948
2,1.6,0.01,64.8826166130497,64.88151658767772
2,1.6,0.001,60.47469682503756,60.4739336492891
2,1.6,1e-4,74.02827149536108,74.02843601895734
2,1.6,0,60.947613936898065,60.9478672985782
2,0.16,1,56.39880122877824,56.398104265402836
2,0.16,0.1,55.3560069001655,55.355450236966824
2,0.16,0.01,54.9282211969121,54.928909952606645
2,0.16,0.001,52.84289440057764,52.8436018957346
2,0.16,1e-4,52.37003282840764,52.3696682464455
2,0.16,0,57.58370692155011,57.58293838862559
2,0.016,1,52.511735995020075,52.51184834123222
2,0.016,0.1,54.55064414090182,54.54976303317536
2,0.016,0.01,49.76343128123582,49.76303317535545
2,0.016,0.001,51.80033584090533,51.80094786729858
2,0.016,1e-4,51.232568607843085,51.23222748815166
2,0.016,0,52.84247253263852,52.8436018957346
2,0.0016,1,41.13887378199554,41.13744075829384
2,0.0016,0.1,42.419042011272914,42.41706161137441
2,0.0016,0.01,41.658400551035385,41.65876777251185
2,0.0016,0.001,36.870993780065625,36.872037914691944
2,0.0016,1e-4,42.70199152057531,42.70142180094787
2,0.0016,0,44.36005451885584,44.36018957345972
2,2e-4,1,23.082970338139653,23.080568720379148
2,2e-4,0.1,18.29379962255651,18.29383886255924
2,2e-4,0.01,20.569410118509374,20.568720379146924
2,2e-4,0.001,12.417089613533188,12.417061611374407
2,2e-4,1e-4,4.264659570393008,4.2654028436018905
2,2e-4,0,6.3035063278445485,6.303317535545034
2,0,1,16.017152387342666,16.018957345971558
2,0,0.1,6.541749915051122,6.54028436018956
2,0,0.01,4.5499162865135645,4.549763033175353
2,0,0.001,-12.746642554206415,-12.748815165876778
2,0,1e-4,-3.17487994070805,-3.1753554502369497
2,0,0,-4.787439804250843,-4.786729857819921
3,1.6,1,72.17664984615789,72.1760391198044
3,1.6,0.1,70.0724155356202,70.07334963325184
3,1.6,0.01,65.27991996073179,65.28117359413203
3,1.6,0.001,68.70444792545312,68.7041564792176
3,1.6,1e-4,63.37363983771113,63.37408312958435
3,1.6,0,63.031785946427426,63.0317848410758
3,0.16,1,58.43528216528503,58.43520782396088
3,0.16,0.1,51.88205106585088,51.882640586797066
3,0.16,0.01,51.29527485204959,51.295843520782405
3,0.16,0.001,49.68201641062693,49.682151589242054
3,0.16,1e-4,50.172327231250854,50.17114914425428
3,0.16,0,53.05471115202597,53.0562347188264
3,0.016,1,54.96391912956171,54.96332518337408
3,0.016,0.1,46.99299798704604,46.99266503667482
3,0.016,0.01,45.52673547147541,45.52567237163814
3,0.016,0.001,47.481358407763416,47.48166259168705
3,0.016,1e-4,45.96614018995906,45.965770171149146
3,0.016,0,45.33034044842402,45.330073349633246
3,0.0016,1,44.204836453074144,44.205378973105134
3,0.0016,0.1,40.93030322232921,40.92909535452323
3,0.0016,0.01,37.89847091606313,37.89731051344744
3,0.0016,0.001,32.5679373774637,32.567237163814184
3,0.0016,1e-4,30.857332554725932,30.85574572127139
3,0.0016,0,37.40887144486078,37.40831295843521
3,2e-4,1,27.284786977473697,27.286063569682156
3,2e-4,0.1,17.945637003534426,17.94621026894866
3,2e-4,0.01,9.094129910612487,9.095354523227385
3,2e-4,0.001,16.3809446922731,16.38141809290954
3,2e-4,1e-4,5.525052004960927,5.5256723716381515
3,2e-4,0,16.674858741790004,16.67481662591686
3,0,1,25.81815998299693,25.819070904645486
3,0,0.1,5.917028444420325,5.916870415647921
3,0,0.01,-0.5874516506586012,-0.5867970660146824
3,0,0.001,-2.6388195097966483,-2.640586797066021
3,0,1e-4,-10.56163048078801,-10.562347188264027
3,0,0,-7.187353884450226,-7.188264058679721
4,1.6,1,96.04354965298373,96.0431654676259
4,1.6,0.1,83.14659481739604,83.14491264131551
4,1.6,0.01,60.99628101585848,60.99691675231243
4,1.6,0.001,66.28936363790066,66.28982528263103
4,1.6,1e-4,62.53997287833309,62.53854059609455
4,1.6,0,69.7321345040578,69.7327852004111
4,0.16,1,94.86104647331601,94.86125385405961
4,0.16,0.1,75.38501315301609,75.38540596094553
4,0.16,0.01,54.162064385343164,54.16238437821171
4,0.16,0.001,49.588621195021794,49.58890030832477
4,0.16,1e-4,48.25332049871154,48.25282631038027
4,0.16,0,54.21359450918885,54.21377183967112
4,0.016,1,91.41778797881744,91.41829393627955
4,0.016,0.1,61.61490932865045,61.61356628982528
4,0.016,0.01,48.303999192431114,48.30421377183966
4,0.016,0.001,44.75829937461076,44.7584789311408
4,0.016,1e-4,44.912541124777796,44.91264131551901
4,0.016,0,46.6605276714458,46.659815005138746
4,0.0016,1,90.90434575728138,90.90441932168551
4,0.0016,0.1,62.435728039004275,62.435765673175744
4,0.0016,0.01,34.78862974753769,34.789311408016445
4,0.0016,0.001,34.48066236898778,34.480986639260024
4,0.0016,1e-4,34.89214649137569,34.89208633093526
4,0.0016,0,38.64278212298548,38.643371017471736
4,2e-4,1,95.94092204089974,95.9403905447071
4,2e-4,0.1,63.20505920098501,63.2065775950668
4,2e-4,0.01,19.116442220759033,19.116135662898245
4,2e-4,0.001,8.939881844112742,8.94141829393628
4,2e-4,1e-4,8.427242703215398,8.427543679342236
4,2e-4,0,-2.1074141997400075,-2.1068859198355625
4,0,1,96.04251337284522,96.0431654676259
4,0,0.1,63.10374577537015,63.103802672148
4,0,0.01,-16.805614256650752,-16.803699897225073
4,0,0.001,-5.754219100141226,-5.755395683453244
4,0,1e-4,-1.646063739137143,-1.644398766700931
4,0,0,3.2369465415409624,3.237410071942435
5,1.6,1,73.01244997136783,73.01356589147287
5,1.6,0.1,69.37909414223911,69.37984496124031
5,1.6,0.01,61.29084685646811,61.28875968992248
5,1.6,0.001,69.86435848089101,69.86434108527132
5,1.6,1e-4,64.53359742039979,64.53488372093022
5,1.6,0,67.92471598361286,67.92635658914728
5,0.16,1,72.72331840415555,72.72286821705427
5,0.16,0.1,68.07168686652388,68.07170542635659
5,0.16,0.01,57.02487573007507,57.025193798449614
5,0.16,0.001,58.47775280839518,58.47868217054263
5,0.16,1e-4,54.74657455519373,54.748062015503876
5,0.16,0,56.15202558289718,56.1531007751938
5,0.016,1,71.17348064895876,71.17248062015504
5,0.016,0.1,62.98387485733621,62.98449612403101
5,0.016,0.01,49.99861557315261,50
5,0.016,0.001,51.697605724730956,51.69573643410853
5,0.016,1e-4,52.76205300735411,52.76162790697674
5,0.016,0,53.34278460871304,53.343023255813954
5,0.0016,1,67.78206623498669,67.78100775193798
5,0.0016,0.1,62.74313448466688,62.742248062015506
5,0.0016,0.01,44.42767533059518,44.42829457364341
5,0.0016,0.001,40.74833013347229,40.746124031007746
5,0.0016,1e-4,37.88734187219466,37.8875968992248
5,0.0016,0,35.124544497597846,35.12596899224806
5,2e-4,1,63.61419668566936,63.61434108527132
5,2e-4,0.1,53.924626142990405,53.92441860465117
